Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
156,35,0,61,6,Some Random Commen with Id 156
157,35,0,18,9,Some Random Commen with Id 157
158,35,0,39,3,Some Random Commen with Id 158
159,35,0,185,0,Some Random Commen with Id 159
160,35,0,157,9,Some Random Commen with Id 160
161,35,0,145,6,Some Random Commen with Id 161
162,35,0,111,4,Some Random Commen with Id 162
163,36,1,185,7,Some Random Commen with Id 163
164,36,1,164,9,Some Random Commen with Id 164
165,36,1,186,6,Some Random Commen with Id 165
166,36,1,10,9,Some Random Commen with Id 166
167,37,7,90,4,Some Random Commen with Id 167
168,37,7,189,4,Some Random Commen with Id 168
169,38,4,10,6,Some Random Commen with Id 169
170,39,3,176,7,Some Random Commen with Id 170
171,39,3,98,8,Some Random Commen with Id 171
172,39,3,198,8,Some Random Commen with Id 172
173,39,3,190,4,Some Random Commen with Id 173
174,39,3,132,4,Some Random Commen with Id 174
175,39,3,160,5,Some Random Commen with Id 175
176,39,3,173,9,Some Random Commen with Id 176
177,39,3,195,8,Some Random Commen with Id 177
